countyfips,state,priv_schools,priv_enrollment
17097,IL,56,6489
17099,IL,8,1325
17103,IL,1,80
17105,IL,6,268
17107,IL,1,75
17109,IL,1,120
17111,IL,16,2695
17113,IL,12,1963
17115,IL,5,867
17117,IL,1,79
17119,IL,27,4178
17121,IL,4,381
17133,IL,3,739
17135,IL,2,191
17137,IL,3,509
17139,IL,1,29
17141,IL,2,236
17143,IL,24,3959
17145,IL,2,159
17147,IL,2,22
17149,IL,1,36
17153,IL,1,7
17157,IL,9,593
17159,IL,3,461
17161,IL,9,3505
17163,IL,19,2608
17167,IL,17,3441
17173,IL,3,309
17177,IL,5,579
17179,IL,9,1139
17183,IL,3,241
17185,IL,2,133
17187,IL,1,153
17189,IL,4,269
17193,IL,1,72
17195,IL,7,908
17197,IL,52,6731
17199,IL,4,473
17201,IL,23,5157
17203,IL,3,254
18001,IN,37,2094
18003,IN,52,11706
18005,IN,7,1339
18007,IN,1,70
18011,IN,8,706
18015,IN,1,29
18019,IN,4,1147
18021,IN,2,90
18023,IN,1,65
18027,IN,17,1165
18029,IN,3,328
18031,IN,2,320
18033,IN,2,667
18035,IN,3,262
18037,IN,2,605
18039,IN,43,3751
18041,IN,1,133
18043,IN,4,1443
18045,IN,1,41
18047,IN,2,395
18049,IN,1,19
18051,IN,3,323
18053,IN,2,300
18057,IN,25,4004
18059,IN,3,275
18061,IN,3,166
18063,IN,1,395
18065,IN,3,184
18067,IN,6,216
18069,IN,1,121
18071,IN,7,939
18073,IN,4,467
18075,IN,5,201
18077,IN,5,606
18079,IN,2,206
18081,IN,7,1579
18083,IN,3,389
18085,IN,14,821
18087,IN,29,1101
18089,IN,28,5554
18091,IN,8,1152
18093,IN,3,246
18095,IN,7,1084
18097,IN,78,21702
18099,IN,12,1403
18103,IN,1,10
18105,IN,7,964
18109,IN,2,568
18113,IN,6,474
18117,IN,1,19
18121,IN,7,221
18123,IN,1,11
18127,IN,11,1594
18129,IN,3,406
18133,IN,1,47
18137,IN,3,475
18139,IN,3,148
18141,IN,36,7348
18143,IN,1,89
18145,IN,2,121
18147,IN,1,104
18149,IN,1,92
18151,IN,3,132
18155,IN,1,40
18157,IN,9,1423
18163,IN,15,4388
18167,IN,6,570
18169,IN,2,146
18173,IN,2,362
18175,IN,4,130
18177,IN,18,1074
18179,IN,1,44
18183,IN,4,117
19005,IA,1,171
19011,IA,1,154
19013,IA,9,2337
19015,IA,3,477
19017,IA,2,164
19019,IA,3,255
19027,IA,1,1061
19031,IA,1,25
19033,IA,2,574
19037,IA,1,163
19041,IA,2,248
19043,IA,1,67
19045,IA,2,364
19047,IA,1,90
19049,IA,2,124
19053,IA,1,20
19055,IA,1,153
19057,IA,3,898
19061,IA,13,3196
19065,IA,2,97
19067,IA,1,208
19069,IA,1,30
19075,IA,1,41
19079,IA,1,73
19081,IA,1,20
19087,IA,1,72
19089,IA,2,230
19095,IA,1,82
19097,IA,2,324
19099,IA,1,76
19101,IA,1,138
19103,IA,8,1236
19105,IA,2,148
19109,IA,2,614
19111,IA,4,601
19113,IA,14,2949
19119,IA,3,88
19123,IA,2,220
19125,IA,2,731
19127,IA,2,227
19139,IA,1,193
19141,IA,4,334
19145,IA,2,255
19147,IA,1,99
19149,IA,2,427
19151,IA,1,85
19153,IA,19,5724
19155,IA,3,832
19157,IA,1,35
19163,IA,8,2160
19165,IA,1,92
19167,IA,12,2457
19169,IA,1,54
19175,IA,2,202
19179,IA,2,161
19181,IA,3,111
19183,IA,1,76
19187,IA,3,724
19191,IA,4,336
19193,IA,9,1600
20003,KS,1,68
20005,KS,4,533
20009,KS,3,165
20011,KS,3,193
20015,KS,2,368
20035,KS,3,164
20037,KS,2,225
20041,KS,3,110
20045,KS,7,1006
20051,KS,4,737
20055,KS,3,245
20057,KS,1,144
20059,KS,1,69
20061,KS,1,122
20079,KS,3,212
20091,KS,36,10544
20095,KS,1,138
20103,KS,3,186
20109,KS,1,55
20111,KS,2,118
20113,KS,2,278
20117,KS,1,61
20121,KS,2,207
20123,KS,3,320
20125,KS,4,276
20131,KS,1,185
20133,KS,2,138
20135,KS,1,48
20149,KS,1,126
20155,KS,5,977
20161,KS,1,221
20169,KS,2,169
20173,KS,32,8962
20175,KS,1,34
20177,KS,11,2413
20189,KS,1,39
20191,KS,2,155
20193,KS,2,127
20197,KS,1,29
20201,KS,2,129
20209,KS,9,1489
21003,KY,4,157
21005,KY,1,96
21009,KY,1,4
21013,KY,1,212
21015,KY,11,1607
21017,KY,1,47
21019,KY,1,105
21021,KY,2,164
21023,KY,1,28
21025,KY,3,227
21027,KY,2,258
21029,KY,3,419
21031,KY,1,5
21035,KY,1,33
21037,KY,12,2090
21041,KY,1,142
21043,KY,1,69
21045,KY,3,165
21047,KY,5,612
21049,KY,3,325
21051,KY,3,320
21059,KY,7,1424
21067,KY,23,5640
21071,KY,3,239
21073,KY,4,804
21083,KY,2,76
21085,KY,6,126
21089,KY,1,57
21093,KY,3,786
21095,KY,1,37
21097,KY,1,35
21101,KY,1,366
21107,KY,2,180
21111,KY,73,22289
21115,KY,1,6
21117,KY,18,4621
21119,KY,1,120
21125,KY,3,163
21127,KY,1,21
21137,KY,2,68
21141,KY,3,83
21145,KY,1,128
21151,KY,2,46
21155,KY,1,160
21161,KY,1,186
21171,KY,1,21
21173,KY,1,54
21175,KY,1,35
21177,KY,1,33
21179,KY,7,764
21185,KY,2,473
21187,KY,1,23
21195,KY,3,57
21199,KY,3,372
21205,KY,3,181
21209,KY,4,282
21211,KY,1,64
21213,KY,2,55
21217,KY,2,94
21219,KY,1,47
21221,KY,2,80
21227,KY,6,681
21231,KY,1,87
21237,KY,1,29
21239,KY,2,190
22001,LA,6,1416
22003,LA,1,14
22005,LA,3,1003
22007,LA,1,185
22009,LA,4,924
22011,LA,1,52
22015,LA,1,525
22017,LA,14,3842
22019,LA,11,2797
22021,LA,1,85
22027,LA,2,310
22029,LA,1,35
22031,LA,1,124
22033,LA,46,14973
22035,LA,1,128
22039,LA,2,415
22041,LA,2,666
22045,LA,5,1699
22047,LA,1,406
22051,LA,48,12521
22053,LA,2,366
22055,LA,17,7865
22057,LA,3,1122
22061,LA,4,822
22063,LA,3,301
22065,LA,1,181
22067,LA,1,251
22069,LA,2,423
22071,LA,41,12444
22073,LA,9,2286
22075,LA,1,145
22077,LA,3,847
22079,LA,9,1972
22085,LA,1,15
22087,LA,2,476
22089,LA,2,480
22093,LA,1,241
22095,LA,5,1611
22097,LA,6,1970
22099,LA,4,1094
22101,LA,4,698
22103,LA,21,6515
22105,LA,8,2195
22107,LA,1,141
22109,LA,10,3361
22111,LA,1,200
22113,LA,2,347
22115,LA,1,43
22117,LA,2,451
22119,LA,1,327
22121,LA,3,739
23001,ME,10,858
23003,ME,3,173
23005,ME,23,2957
23007,ME,2,62
23009,ME,7,546
23011,ME,8,1379
23013,ME,6,251
23015,ME,8,927
23017,ME,9,633
23019,ME,12,1397
23021,ME,1,421
23023,ME,4,280
23025,ME,6,585
23027,ME,2,53
23029,ME,1,421
23031,ME,16,2973
24001,MD,7,516
24003,MD,44,10253
24005,MD,87,19411
24009,MD,4,454
24011,MD,2,82
24013,MD,11,1341
24015,MD,9,1354
24017,MD,12,1797
24019,MD,2,56
24021,MD,19,1693
24023,MD,3,75
24025,MD,16,2706
24027,MD,23,3125
24029,MD,4,214
24031,MD,128,22595
24033,MD,69,12114
24035,MD,2,246
24037,MD,25,2394
24039,MD,1,518
24041,MD,4,967
24043,MD,14,2189
24045,MD,9,1495
24047,MD,3,766
24510,MD,60,11031
25001,MA,16,1615
25003,MA,17,1823
25005,MA,43,5437
25007,MA,1,16
25009,MA,60,13822
25011,MA,6,1409
25013,MA,35,4217
25015,MA,10,1275
25017,MA,133,20386
25019,MA,3,213
25021,MA,66,11760
25023,MA,24,3171
25025,MA,41,8998
25027,MA,59,9338
26003,MI,1,58
26005,MI,9,1543
26007,MI,2,149
26009,MI,1,41
26013,MI,2,67
26015,MI,3,192
26017,MI,10,900
26021,MI,15,2398
26023,MI,4,294
26025,MI,5,598
26027,MI,1,16
26029,MI,1,65
26031,MI,3,228
26033,MI,3,237
26035,MI,3,79
26037,MI,4,571
26041,MI,2,276
26043,MI,3,172
26045,MI,8,824
26047,MI,2,305
26049,MI,18,2993
26051,MI,4,139
26053,MI,2,25
26055,MI,10,1700
26057,MI,3,153
26059,MI,7,385
26063,MI,8,509
26065,MI,18,2452
26067,MI,4,543
26069,MI,3,98
26073,MI,5,847
26075,MI,7,1387
26077,MI,14,1704
26081,MI,39,10519
26087,MI,3,223
26089,MI,3,335
26091,MI,5,595
26093,MI,8,1257
26099,MI,32,7031
26101,MI,2,47
26103,MI,3,114
26105,MI,2,164
26107,MI,1,18
26109,MI,2,123
26111,MI,6,323
26113,MI,1,293
26115,MI,11,1882
26117,MI,8,569
26121,MI,4,763
26123,MI,3,304
26125,MI,95,21811
26127,MI,2,136
26129,MI,1,67
26133,MI,2,122
26137,MI,3,324
26139,MI,21,4856
26141,MI,3,102
26143,MI,1,53
26145,MI,18,2267
26147,MI,9,738
26149,MI,6,397
26151,MI,2,79
26153,MI,2,123
26155,MI,4,259
26157,MI,3,252
26159,MI,6,209
26161,MI,24,3326
26163,MI,77,13283
26165,MI,3,235
27001,MN,1,130
27003,MN,21,3210
27005,MN,2,37
27007,MN,4,464
27009,MN,5,576
27013,MN,4,676
27015,MN,6,1430
27017,MN,1,67
27019,MN,13,2120
27025,MN,2,100
27027,MN,2,613
27033,MN,1,110
27035,MN,4,401
27037,MN,26,3764
27039,MN,2,22
27041,MN,3,364
27043,MN,2,80
27045,MN,3,75
27047,MN,2,91
27049,MN,3,143
27051,MN,1,24
27053,MN,79,15435
27055,MN,3,231
27059,MN,3,233
27061,MN,3,168
27063,MN,2,86
27067,MN,2,546
27069,MN,1,46
27071,MN,1,25
27079,MN,2,158
27083,MN,4,428
27085,MN,6,474
27087,MN,1,41
27091,MN,5,308
27093,MN,2,90
27095,MN,2,136
27097,MN,3,279
27099,MN,2,357
27101,MN,1,34
27103,MN,6,377
27105,MN,3,163
27109,MN,13,1952
27111,MN,6,579
27113,MN,2,97
27115,MN,1,45
27117,MN,3,331
27119,MN,5,564
27121,MN,1,11
27123,MN,45,9994
27127,MN,2,223
27129,MN,2,212
27131,MN,7,1337
27133,MN,2,43
27137,MN,9,1236
27139,MN,9,1405
27141,MN,4,178
27143,MN,4,201
27145,MN,21,2486
27147,MN,3,406
27149,MN,1,89
27153,MN,4,254
27157,MN,3,178
27161,MN,2,187
27163,MN,16,2278
27165,MN,2,96
27167,MN,1,119
27169,MN,8,1084
27171,MN,8,937
27173,MN,1,64
28001,MS,3,731
28003,MS,1,22
28005,MS,2,687
28007,MS,1,89
28011,MS,2,629
28013,MS,1,105
28015,MS,1,309
28019,MS,1,265
28025,MS,1,269
28027,MS,3,422
28029,MS,1,688
28031,MS,1,9
28033,MS,8,2354
28035,MS,4,1652
28043,MS,1,396
28045,MS,1,247
28047,MS,11,1965
28049,MS,23,3562
28051,MS,1,234
28053,MS,1,167
28059,MS,5,813
28061,MS,2,396
28065,MS,1,191
28067,MS,1,126
28071,MS,3,250
28073,MS,6,530
28075,MS,3,769
28079,MS,1,583
28081,MS,8,817
28083,MS,4,1071
28085,MS,2,442
28087,MS,3,887
28089,MS,5,3046
28091,MS,2,510
28093,MS,3,451
28095,MS,1,63
28097,MS,1,312
28099,MS,1,5
28101,MS,1,235
28105,MS,2,822
28107,MS,1,395
28109,MS,4,209
28113,MS,3,864
28119,MS,1,167
28121,MS,6,1148
28127,MS,4,837
28131,MS,1,90
28133,MS,2,236
28135,MS,1,90
28137,MS,1,615
28143,MS,1,211
28145,MS,1,40
28149,MS,3,489
28151,MS,6,683
28155,MS,1,3
28159,MS,2,519
28163,MS,2,273
29001,MO,3,162
29003,MO,1,22
29007,MO,4,407
29009,MO,2,170
29015,MO,2,110
29019,MO,17,9708
29021,MO,6,1102
29023,MO,2,317
29027,MO,2,166
29029,MO,1,60
29031,MO,8,1823
29037,MO,4,278
29039,MO,2,117
29041,MO,1,105
29043,MO,1,24
29045,MO,1,11
29047,MO,10,1156
29051,MO,14,3001
29053,MO,3,239
29055,PA,1,50
29057,MO,1,68
29059,MO,1,24
29061,MO,8,228
29067,MO,2,94
29069,MO,2,65
29071,MO,10,1987
29073,MO,2,162
29077,MO,16,1804
29079,MO,1,43
29081,MO,1,29
29083,MO,4,315
29089,MO,1,105
29091,MO,1,45
29095,MO,42,8482
29097,MO,6,710
29099,MO,6,799
29101,MO,1,79
29107,MO,5,511
29109,MO,4,225
29111,MO,1,1
29113,MO,4,349
29115,MO,2,54
29117,MO,1,93
29121,MO,2,145
29125,MO,2,174
29127,MO,2,248
29129,MO,2,28
29131,MO,1,61
29133,MO,1,50
29135,MO,3,163
29137,MO,2,158
29139,MO,1,53
29141,MO,2,63
29143,MO,1,74
29145,MO,1,80
29147,MO,2,207
29151,MO,5,479
29157,MO,3,784
29159,MO,5,583
29161,MO,1,10
29163,MO,2,92
29165,MO,9,1147
29167,MO,2,108
29169,MO,2,185
29173,MO,1,55
29175,MO,2,140
29181,MO,1,34
29183,MO,25,7246
29186,MO,3,492
29187,MO,3,399
29189,MO,123,26680
29195,MO,2,253
29201,MO,7,436
29205,MO,2,120
29209,MO,1,17
29213,MO,3,392
29215,MO,3,49
29217,MO,2,21
29219,MO,4,360
29221,MO,1,46
29223,MO,2,51
29225,MO,22,866
29229,MO,4,144
29510,MO,30,5813
30003,MT,2,136
30005,MT,2,100
30013,MT,7,651
30017,MT,2,164
30019,MT,1,211
30021,MT,1,9
30027,MT,2,74
30029,MT,13,1003
30031,MT,12,908
30035,MT,2,105
30041,MT,1,90
